,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,<,-,-,-,-,-,>,,,,,,,,,,,,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|
,,,,,,,,,,,,,,,,,,,,,,,,,<,-,-,-,>,,,,,,,,,,,,!,!,!,!,!,,,,,,,,,,,,,,<,-,-,>,,,,,,,,,,,2,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,,,,,,,,,^,|
,,,,,,,,,,,,,,,,,,,,,,,,,,!,!,!,,,,,,,,,,,,,!,!,!,!,!,,,,,,,,,N,N,,,,,!,!,,,,,,,,,,,,,,<,-,-,-,-,>,,,,,,,,,,,,,,,,,<,-,-,-,-,-,>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,,,,,,,,,~,|
,,,,,,,,,,,,,,,,,,,,,,,,,,!,!,!,,,,,,,,,,,,,!,!,!,!,!,,,,,,,,,,,,,,,!,!,,,,,,,,,,,,,,,!,!,!,!,,,,N,N,,,,,,,,,,,,,,!,!,!,!,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,b,b,b,,,,,,,,,~,|
,,,,,,,,,,,,,,,,,,,,,,,,,,!,!,!,,,,,,,<,-,-,-,>,,!,!,!,!,!,,,,,,,,,,,,,,,!,!,,,,,,,,<,-,>,,,,,!,!,!,!,,,,,,,,,N,N,,,,,,,,,!,!,!,!,!,,,,,,<,-,-,>,,,,<,-,-,>,,,,,,,,,,,,,,b,b,b,b,,,,,,,,,~,|
